station_id,time,cs,fof2,hmF2,foE,MUFD,hF2
AL945,2026-02-05 20:00:00+00:00,90,10.675,34.58,2.70,215.0,262.7
MHJ45,2026-02-05 20:00:00+00:00,70,10.675,34.74,,227.5,260.8
AL945,2026-02-05 20:07:30+00:00,90,10.600,34.66,,217.5,255.5
MHJ45,2026-02-05 20:07:30+00:00,75,10.575,34.34,2.78,220.0,257.2
AL945,2026-02-05 20:15:00+00:00,90,10.700,35.40,2.70,222.5,254.8
MHJ45,2026-02-05 20:15:00+00:00,70,10.450,34.10,,215.0,260.9
AL945,2026-02-05 20:22:30+00:00,70,10.650,34.91,2.58,225.0,259.9
MHJ45,2026-02-05 20:22:30+00:00,70,10.325,33.97,2.58,217.5,256.0
AL945,2026-02-05 20:30:00+00:00,60,8.600,32.63,2.60,215.0,216.5
MHJ45,2026-02-05 20:30:00+00:00,60,10.100,33.01,,215.0,258.0
MHJ45,2026-02-05 20:37:30+00:00,60,9.900,32.78,2.53,215.0,248.2
AL945,2026-02-05 20:37:30+00:00,80,10.425,34.12,2.60,220.0,255.0
MHJ45,2026-02-05 20:45:00+00:00,70,9.800,31.11,,212.5,267.9
